brand,number,title
Lego,9231,Playhouse Set
Lego,9232,Hospital Set
Lego,9233,Farm Set
Lego,9234,Dolls Family Set
Lego,9236,Garden Set
Lego,9237,Garage Set
Lego,9238,Farm Animals Set
Lego,9239,Stable Set
Lego,9240,Fire Rescue Services Set
Lego,9241,Wheels Set
Lego,795,"2 Large Baseplates, Red/Blue"
Lego,796,"2 Large Baseplates, Green/Yellow"
Lego,797,"2 Large Baseplates, Grey/White"
Lego,798,"2 Medium Baseplates, Green"
Lego,800,Gears. Motor and Bricks
Lego,801,Gear Set
Lego,802,Gear Supplement
Lego,803,"Gears, Bricks and Heavy Tires"
Lego,810,Gear set
Lego,811,Gear set
Lego,812,Gear Set
Lego,813,Tractor
Lego,901,Universal Motor Set
Lego,990,Trees and Signs (1971 version with granulated trees and 4 bricks)
Lego,990,Trees and Signs (1969 version with old style trees and 3 bricks)
Lego,1546,Aircraft
Lego,1608,Aeroplane
Lego,,Super Set
Lego,8530,Masks
Lego,8531,Pohatu
Lego,8532,Onua
Lego,8533,Gali
Lego,8534,Tahu
Lego,8535,Lewa
Lego,8536,Kopaka
Lego,8537,Nui-Rama
Lego,8538,Muaka & Kane-ra
Lego,8539,Manas
Lego,8540,Vakama
Lego,8541,Matau
Lego,8542,Onewa
Lego,8543,Nokama
Lego,8544,Nuju
Lego,8545,Whenua
Lego,8546,Bionicle Power Pack
Lego,8548,Nui-Jaga
Lego,8549,Tarakava
Lego,8550,Gahlok Va
Lego,8551,Kohrak Va
Lego,8552,Lehvak Va
Lego,8553,Pahrak Va
Lego,8554,Tahnok Va
Lego,8555,Nuhvok Va
Lego,6114,LEGO Creator 200 Plus 40 Special Elements
Lego,6116,LEGO Box
Lego,6161,LEGO Brick Box
Lego,6164,LEGO Rescue Building Set
Lego,6166,LEGO Large Brick Box
Lego,6167,LEGO Deluxe Brick Box
Lego,7172,Banana
Lego,7173,Pear
Lego,7174,Apple
Lego,7175,Grapes
Lego,7176,Watermelon
Lego,7177,Orange
Lego,7178,Chef
Lego,7335,Foundation Set - Blue Bucket
Lego,7336,Foundation Set - Red Bucket
Lego,7793,Standard Starter Set
Lego,7794,{Set with two minifigs}
Lego,7795,Deluxe Starter Set
Lego,66188,Bonus/Value Pack
Lego,6203,BLACK PHANTOM
Lego,6216,JAWBLADE
Lego,6217,SURGE
Lego,6218,SPLITFACE
Lego,6221,NEX
Lego,6222,CORE HUNTER
Lego,6223,BULK
Lego,6227,BREEZ
Lego,6228,THORNRAXX
Lego,6229,XT4
Lego,6230,STORMER XL
Lego,6231,SPEEDA DEMON
Lego,6282,STRINGER
Lego,6283,VOLTIX
Lego,6293,Furno
Lego,7145,Von Nebula
Lego,7147,XPlode
Lego,7148,Meltdown
Lego,7156,Corroder
Lego,7157,Thunder
Lego,7158,Furno Bike
Lego,7160,Drop Ship
Lego,7162,Rotor
Lego,7164,Preston Stormer
Lego,7165,Natalie Breez
Lego,1,Small house set
Lego,1,Small basic set
Lego,2,Medium house set
Lego,2,Medium basic set
Lego,3,Medium house set
Lego,4,Large house set
Lego,5,Large house set
Lego,11,Small pre-school set
Lego,12,Medium pre-school set
Lego,13,Large pre-school set
Lego,14,Small house set
Lego,15,Large house set
Lego,16,City square
Lego,17,Airport
Lego,21,Truck
Lego,22,Car
Lego,23,Delivery truck
Lego,24,Train
Lego,30,Small ship
Lego,31,Medium ship
Lego,32,Large ship
Lego,5589,LEGO Giant Box
Lego,5623,LEGO Basic Bricks - Large
Lego,5749,Creative Building Kit
Lego,5898,Cars Building Set
Lego,5899,House Building Set
Lego,5929,Knight and Castle Building Set
Lego,5930,Road Construction Building Set
Lego,5932,My First LEGO Set
